Setor,Data Aquisição,Tipo Equipamento,Valor,Garantia
MATERIAIS E ESTERILIZAÇÃO,30/06/2014,TERMODESINFECTORA,246990,NÃO
AMBULATORIO CENTRAL,06/02/2015,ESFIGMOMANOMETRO ANEROIDE,70,NÃO
RESSONANCIA MAGNETICA,25/12/2011,INJETOR MEIO CONTRASTE,0,NÃO
PLASTICA E QUEIMADOS,09/05/2013,CAMA ELETRICA,8690,NÃO
UNIDADE DE LABORATORIO DE ANALISES CLINICAS,27/04/2015,ANA LAB HEM HEMOGLOBINA,0,NÃO
UNIDADE DE ANATOMIA PATOLOGICA,25/02/2011,CRIOSTATO,90783,NÃO
UNIDADE DE TERAPIA INTENSIVA CORONARIANA,01/12/2009,OXIMETRO PULSO,2060,NÃO
BANCO DE LEITE HUMANO,13/08/2002,BANHO RESFRIAMENTO,"3198,5",NÃO
RADIOTERAPIA,11/11/2011,ESFIGMOMANOMETRO ANEROIDE,60,NÃO
AMBULATÓRIO CENTRAL,10/03/2015,KERATOTOMO,"85388,37",NÃO
CENTRO CIRÚRGICO,29/10/2014,FONTE LUZ FIBRA OPTICA ENDOSCOPIO RIGIDO MULTIUSO,237500,NÃO
CENTRO CIRURGICO,01/04/2015,FONTE LUZ FIBRA OPTICA ENDOSCOPIO RIGIDO MULTIUSO,237500,NÃO
FUNCAO PULMONAR,12/12/2014,ESPIROMETRO DIAGNOSTICO,20000,NÃO
FUNCAO PULMONAR,10/09/2013,ESPIROMETRO DIAGNOSTICO,"433414,99",NÃO
RESSONANCIA MAGNETICA,21/05/2015,ESFIGMOMANOMETRO ANEROIDE,960,NÃO
RESSONANCIA MAGNETICA,21/05/2015,ESFIGMOMANOMETRO ANEROIDE,960,NÃO
CIRURGICA 01,21/05/2015,ESFIGMOMANOMETRO ANEROIDE,960,NÃO
CLINICA MEDICA,21/05/2013,CAMA ELETRICA,8690,NÃO
PEQUENAS CIRURGIAS - SALA 38,14/01/2013,MONITOR MULTIPARAMETRICO,5550,NÃO
SETOR DE FARMÁCIA CLÍNICA - FARMÁCIA CENTRAL,09/06/2015,SELADOR PACOTE,1250,NÃO
SETOR DE FARMÁCIA CLÍNICA - FARMÁCIA CENTRAL,09/06/2015,SELADOR PACOTE,1250,NÃO
RADIOLOGIA,30/03/2012,SIS DIGITALIZACAO IMAGEM RADIOGRAFIA,91592,NÃO
AGENCIA TRANSFUSIONAL,01/08/2014,BANHO MARIA LABORATORIAL,3685,NÃO
UNIDADE DE LABORATORIO DE ANÁLISES CLINICAS,24/06/2014,REFRIGERADOR FARMACIA VERTICAL,10900,NÃO
UNIDADE DE LABORATORIO DE ANALISES CLINICAS,24/06/2014,REFRIGERADOR FARMACIA VERTICAL,10900,NÃO
UNIDADE DE LABORATORIO DE ANALISES CLINICAS,24/06/2014,REFRIGERADOR FARMACIA VERTICAL,10900,NÃO
CENTRO CIRURGICO,30/03/2012,SIS DIGITALIZACAO IMAGEM RADIOGRAFIA,91592,NÃO
ENDOSCOPIA - 15,26/08/2014,VIDEO GASTROSCOPIO,114900,NÃO
ENDOSCOPIA - 16,26/08/2014,VIDEO GASTROSCOPIO,114900,NÃO
CENTRO CIRURGICO,12/06/2014,LITOTRIPTOR INTRACORPOREO,49990,NÃO
DIVISÃO ENFERMAGEM - EM FRENTE TRANSPLANTES,01/03/2006,UMIDIFICADOR AQUECEDOR,0,NÃO
UTI ADULTO,01/08/2005,UMIDIFICADOR AQUECEDOR,0,NÃO
AMBULATORIO GINECOLOGIA E OBSTETRICIA,26/10/2006,COLPOSCOPIO,8800,NÃO
CLINICA MEDICA,29/05/2014,ELETROCARDIOGRAFO,4750,NÃO
UNIDADE DE TERAPIA INTENSIVA CORONARIANA,29/05/2014,ELETROCARDIOGRAFO,4750,NÃO
UTI CORONARIANA,29/05/2014,ELETROCARDIOGRAFO,4750,NÃO
UTI ADULTO,29/05/2014,ELETROCARDIOGRAFO,4750,NÃO
PRONTO SOCORRO,29/05/2014,ELETROCARDIOGRAFO,4750,NÃO
ENDOSCOPIA,09/06/2014,ASPIRADOR CIRURGICO,5698,NÃO
UTI ADULTO,09/06/2014,ASPIRADOR CIRURGICO,5698,NÃO
UTI ADULTO,09/06/2014,ASPIRADOR CIRURGICO,5698,NÃO
ENDOSCOPIA,01/08/2014,ASPIRADOR CIRURGICO,5698,NÃO
UTI ADULTO,01/08/2014,ASPIRADOR CIRURGICO,5698,NÃO
UNIDADE DE TERAPIA INTENSIVA CORONARIANA,11/11/2011,MOD PRESSAO INVASIVA,5000,NÃO
RESSONANCIA MAGNETICA,14/01/2013,MONITOR MULTIPARAMETRICO,5550,NÃO
CENTRO CIRURGICO,28/08/2006,UNI COAGULACAO ARGONIO,32600,NÃO
CENTRO CIRURGICO,28/08/2006,UNI COAGULACAO ARGONIO,23983,NÃO
PRONTO SOCORRO,24/06/2014,SERRA GESSO ELETRICA,1750,NÃO
CENTRO CIRÚRGICO,30/03/2012,SIS DIGITALIZACAO IMAGEM RADIOGRAFIA,91592,NÃO
MATERIAIS E ESTERILIZACAO,30/06/2014,OSMOSE REVERSA,0,NÃO
MATERIAIS E ESTERILIZACAO,30/06/2014,OSMOSE REVERSA,0,NÃO
MATERIAIS E ESTERILIZACAO,30/06/2014,OSMOSE REVERSA,0,NÃO
MATERIAIS E ESTERILIZACAO,30/06/2014,SECADOR CIRCUITO RESPIRATORIO EXTERNO,0,NÃO
MATERIAIS E ESTERILIZACAO,30/06/2014,SECADOR CIRCUITO RESPIRATORIO EXTERNO,0,NÃO
MATERIAIS E ESTERILIZACAO,30/06/2014,SECADOR CIRCUITO RESPIRATORIO EXTERNO,0,NÃO
CENTRO CIRURGICO,29/10/2014,PROCESSADORA IMAGEM VIDEO,0,NÃO
CENTRO CIRÚRGICO,29/10/2014,PROCESSADORA IMAGEM VIDEO,0,NÃO
CENTRO CIRURGICO,29/04/2014,PROCESSADORA IMAGEM VIDEO,0,NÃO
CENTRO CIRURGICO,29/04/2014,INSUFLADOR LAPAROSCOPIA,0,NÃO
CENTRO CIRURGICO,29/04/2014,INSUFLADOR LAPAROSCOPIA,0,NÃO
CENTRO CIRURGICO,29/04/2014,INSUFLADOR LAPAROSCOPIA,0,NÃO
CENTRO CIRURGICO,29/04/2014,DIGITALIZADOR/GRAVADOR VIDEO,0,NÃO
CENTRO CIRURGICO,29/04/2014,DIGITALIZADOR/GRAVADOR VIDEO,0,NÃO
CENTRO CIRURGICO,29/04/2014,DIGITALIZADOR/GRAVADOR VIDEO,0,NÃO
SETOR DE FARMÁCIA CLÍNICA - FARMÁCIA CENTRAL,01/10/2007,SELADOR PACOTE,600,NÃO
CENTRO CIRURGICO,29/10/2014,MONITOR VIDEO,0,NÃO
CENTRO CIRURGICO,29/10/2014,MONITOR VIDEO,0,NÃO
CENTRO CIRURGICO,29/10/2014,MONITOR VIDEO,0,NÃO
UNIDADE DE TERAPIA INTENSIVA PEDIATRIA,25/09/2019,UMIDIFICADOR AQUECEDOR,0,NÃO
UTI NEO,25/09/2019,UMIDIFICADOR AQUECEDOR,0,NÃO
UNIDADE DE TERAPIA INTENSIVA PEDIÁTRICA,01/11/2010,UMIDIFICADOR AQUECEDOR,0,NÃO
UNIDADE DE TERAPIA INTENSIVA PEDIATRIA,25/09/2019,UMIDIFICADOR AQUECEDOR,0,NÃO
UNIDADE DE TERAPIA INTENSIVA PEDIATRIA,25/09/2019,UMIDIFICADOR AQUECEDOR,0,NÃO
UNIDADE DE TERAPIA INTENSIVA PEDIATRICA,01/11/2010,UMIDIFICADOR AQUECEDOR,0,NÃO
UNIDADE DE TERAPIA INTENSIVA NEONATAL,10/04/2010,UMIDIFICADOR AQUECEDOR,0,NÃO
CENTRO CIRURGICO,29/10/2014,MONITOR VIDEO,0,NÃO
CENTRO CIRURGICO,29/10/2014,MONITOR VIDEO,237500,NÃO
CENTRO CIRÚRGICO,29/10/2014,MONITOR VIDEO,0,NÃO
AMBULATÓRIO DE GINECOLOGIA E OBSTETRÍCIA,01/01/2020,ENDOSCOPIO DUCTO COMUM,0,NÃO
UTI PEDIATRICA,25/09/2019,UMIDIFICADOR AQUECEDOR,0,NÃO
CENTRO CIRÚRGICO,01/01/2020,OPTICA RIGIDA,0,NÃO
UNIDADE DE LABORATORIO DE ANALISES CLINICAS,21/09/2015,ANA LAB GAS SANGUINEO-PH-ELETROLITO,0,NÃO
UNIDADE DE LABORATORIO DE ANALISES CLINICAS,21/09/2015,ANA LAB GAS SANGUINEO-PH-ELETROLITO,0,NÃO
CIRURGICA 01,21/05/2013,CAMA ELETRICA,8690,NÃO
ARSENAL DE ANESTESIA,23/12/2022,MOD CO2 EXALADO,4300,NÃO
AMBULATORIO CENTRAL,19/10/2015,ESTIMULADOR CALORICO FUNCAO VESTIBULAR,3000,NÃO
AMBULATORIO CENTRAL,19/10/2015,ELETRONISTAGMOGRAFO,11000,NÃO
UNIDADE DE TERAPIA INTENSIVA PEDIÁTRICA,25/09/2019,UMIDIFICADOR AQUECEDOR,0,NÃO
UNIDADE DE TERAPIA INTENSIVA PEDIATRIA,25/09/2019,UMIDIFICADOR AQUECEDOR,0,NÃO
UNIDADE DE TERAPIA INTENSIVA PEDIATRIA,25/09/2019,UMIDIFICADOR AQUECEDOR,0,NÃO
AMBULATORIO CENTRAL,19/10/2015,VIDEO NISTAGMOGRAFO,3000,NÃO
UNIDADE DE LABORATORIO DE ANALISES CLINICAS,22/10/2015,ANA LAB BIOQUIMICO,"152304,08",NÃO
CENTRO CIRÚRGICO,11/11/2011,MOD CO2 EXALADO,5000,NÃO
CENTRO CIRÚRGICO,07/03/2002,ARTROSCOPIO,0,NÃO
CENTRO CIRÚRGICO,11/11/2011,MOD CO2 EXALADO,5000,NÃO
CENTRO CIRÚRGICO,11/11/2011,MOD CO2 EXALADO,5000,NÃO
CENTRO CIRÚRGICO,11/11/2011,MOD CO2 EXALADO,5000,NÃO
UNIDADE DE LABORATORIO DE ANALISES CLINICAS,22/10/2015,ANA LAB BIOQUIMICO,"170431,92",NÃO
UNIDADE DE LABORATORIO DE ANALISES CLINICAS,22/10/2015,ANA LAB BIOQUIMICO,"170431,92",NÃO
ONCOLOGIA,12/06/2013,CAMA ELETRICA,8690,NÃO
CIRURGICA 02,29/10/2013,ESFIGMOMANOMETRO ANEROIDE,52,NÃO
CLINICA MEDICA,21/05/2013,CAMA ELETRICA,8690,NÃO
CENTRO OBSTETRICO,14/01/2013,MONITOR MULTIPARAMETRICO,5550,NÃO
AMBULATORIO GINECOLOGIA E OBSTETRICIA,14/01/2013,MONITOR MULTIPARAMETRICO,5550,NÃO
PRONTO SOCORRO,14/01/2013,MONITOR MULTIPARAMETRICO,5550,NÃO
CIRÚRGICA 02,14/01/2013,MONITOR MULTIPARAMETRICO,5550,NÃO
GERENCIA DE PRONTO SOCORRO,14/01/2013,MONITOR MULTIPARAMETRICO,5550,NÃO
CLINICA MEDICA,14/01/2013,MONITOR MULTIPARAMETRICO,5550,NÃO
PRONTO SOCORRO,14/01/2013,MONITOR MULTIPARAMETRICO,5550,NÃO
PRONTO SOCORRO,14/01/2013,MONITOR MULTIPARAMETRICO,5550,NÃO
GERENCIA DE PRONTO SOCORRO,13/01/2013,MONITOR MULTIPARAMETRICO,5550,NÃO
NEFROLOGIA,13/01/2013,MONITOR MULTIPARAMETRICO,5550,NÃO
PRONTO SOCORRO,14/01/2013,MONITOR MULTIPARAMETRICO,5550,NÃO
SETOR DE PRONTO SOCORRO DE GINECOLOGIA E OBSTETRÍCIA,14/01/2013,MONITOR MULTIPARAMETRICO,5550,NÃO
GERENCIA DE PRONTO SOCORRO,14/01/2013,MONITOR MULTIPARAMETRICO,5550,NÃO
ENFERMARIA DE PEDIATRIA,14/01/2013,MONITOR MULTIPARAMETRICO,5550,NÃO
PLASTICA E QUEIMADOS,14/01/2013,MONITOR MULTIPARAMETRICO,5550,NÃO
CIRURGICA 01,14/01/2013,MONITOR MULTIPARAMETRICO,5550,NÃO
GERÊNCIA DE PRONTO SOCORRO,14/01/2013,MONITOR MULTIPARAMETRICO,5550,NÃO
PRONTO SOCORRO,13/01/2013,MONITOR MULTIPARAMETRICO,5550,NÃO
PEDIATRIA,14/01/2013,MONITOR MULTIPARAMETRICO,5550,NÃO
MATERNIDADE,14/01/2013,MONITOR MULTIPARAMETRICO,5550,NÃO
CENTRO OBSTÉTRICO,14/01/2013,MONITOR MULTIPARAMETRICO,5550,NÃO
CIRURGICA 2,14/01/2013,MONITOR MULTIPARAMETRICO,5550,NÃO
FONOAUDIOLOGIA,01/01/2004,FONTE LUZ,"305,35",NÃO
PRONTO SOCORRO,18/01/2012,OXIMETRO PULSO,"2048,99",NÃO
PRONTO SOCORRO,13/01/2013,MONITOR MULTIPARAMETRICO,5550,NÃO
CIRURGICA 05,14/01/2013,MONITOR MULTIPARAMETRICO,5550,NÃO
GERENCIA DE PRONTO SOCORRO,14/01/2013,MONITOR MULTIPARAMETRICO,5550,NÃO
GERENCIA DE PRONTO SOCORRO,14/01/2013,MONITOR MULTIPARAMETRICO,5550,NÃO
PRONTO SOCORRO,14/01/2013,MONITOR MULTIPARAMETRICO,5550,NÃO
CIRÚRGICA I,14/01/2013,MONITOR MULTIPARAMETRICO,5550,NÃO
CLINICA MEDICA,14/01/2013,MONITOR MULTIPARAMETRICO,5550,NÃO
CIRURGICA 01,14/01/2013,MONITOR MULTIPARAMETRICO,5550,NÃO
PEDIATRIA,14/01/2013,MONITOR MULTIPARAMETRICO,5550,NÃO
ENFERMARIA DE PEDIATRIA,14/01/2013,MONITOR MULTIPARAMETRICO,5550,NÃO
PEDIATRIA,13/01/2013,MONITOR MULTIPARAMETRICO,5550,NÃO
AMBULATORIO DE PEDIATRIA,13/01/2013,MONITOR MULTIPARAMETRICO,5550,NÃO
CLINICA MEDICA,14/01/2013,MONITOR MULTIPARAMETRICO,5550,NÃO
PRONTO SOCORRO,14/01/2013,MONITOR MULTIPARAMETRICO,5550,NÃO
PRONTO SOCORRO,14/01/2013,MONITOR MULTIPARAMETRICO,5550,NÃO
GERENCIA DE PRONTO SOCORRO,14/01/2013,MONITOR MULTIPARAMETRICO,5550,NÃO
TRANSPLANTE RENAL,13/01/2013,MONITOR MULTIPARAMETRICO,5550,NÃO
GERENCIA DE PRONTO SOCORRO,14/01/2013,MONITOR MULTIPARAMETRICO,5550,NÃO
MATERNIDADE,14/01/2013,MONITOR MULTIPARAMETRICO,5550,NÃO
CIRURGICA 01,14/01/2013,MONITOR MULTIPARAMETRICO,5550,NÃO
CIRURGICA 01,14/01/2013,MONITOR MULTIPARAMETRICO,5550,NÃO
GERENCIA DE PRONTO SOCORRO,14/01/2013,MONITOR MULTIPARAMETRICO,5550,NÃO
ENFERMARIA DA PEDIATRIA,14/01/2013,MONITOR MULTIPARAMETRICO,5550,NÃO
CLINICA MEDICA,14/01/2013,MONITOR MULTIPARAMETRICO,5550,NÃO
TRANSPLANTES,14/01/2013,MONITOR MULTIPARAMETRICO,5550,NÃO
BANCO DE LEITE HUMANO,29/06/2005,BANHO MARIA PASTEURIZACAO,"6435,22",NÃO
UNIDADE DE TERAPIA INTENSIVA NEONATAL,05/03/2003,BALANCA PACIENTE INFANTIL,"7570,29",NÃO
MATERIAIS E ESTERILIZAÇÃO,18/12/2015,AUTOCLAVE GRANDE PORTE,"369036,15",NÃO
RESSONANCIA MAGNETICA,14/01/2013,MONITOR MULTIPARAMETRICO,5550,NÃO
GERÊNCIA DE PRONTO SOCORRO,14/01/2013,MONITOR MULTIPARAMETRICO,5550,NÃO
PLÁSTICA E QUEIMADOS,21/05/2013,CAMA ELETRICA,8690,NÃO
AMBULATORIO CENTRAL,26/11/2013,LAMPADA FENDA,15000,NÃO
PSIQUIATRIA,21/05/2013,CAMA ELETRICA,8690,NÃO
UTI ADULTO,21/05/2013,CAMA ELETRICA,8690,NÃO
UNIDADE DE LABORATORIO DE ANALISES CLINICAS,22/10/2015,ANA LAB BIOQUIMICO,"152304,08",NÃO
UNIDADE DE LABORATORIO DE ANALISES CLINICAS,22/10/2015,ANA LAB BIOQUIMICO,"170431,92",NÃO
ONCOLOGIA,03/12/2015,ULTRASSOM,160000,NÃO
AMBULATORIO CENTRAL,05/08/2015,ULTRASSOM,"98039,2",NÃO
AMBULATORIO CENTRAL,08/11/2010,AUDIOMETRO,"9837,43",NÃO
AMBULATÓRIO DE TRAUMATOLOGIA,24/06/2014,SERRA GESSO ELETRICA,1750,NÃO
BIOENGENHARIA,01/02/2016,RADIOMETRO FOTOTERAPIA,4398,NÃO
AMBULATORIO CENTRAL,26/11/2013,MESA OFTALMOLOGICA,1160,NÃO
CENTRO CIRURGICO,22/03/2016,BOMBA INFUSAO SERINGA,"8315,38",NÃO
CENTRO CIRURGICO,22/03/2016,BOMBA INFUSAO SERINGA,"8315,38",NÃO
ANESTESIOLOGIA,22/03/2016,BOMBA INFUSAO SERINGA,"8315,38",NÃO
UNIDADE DE TERAPIA INTENSIVA NEONATAL,22/03/2016,BOMBA INFUSAO SERINGA,"8315,38",NÃO
CENTRO CIRURGICO,22/03/2016,BOMBA INFUSAO SERINGA,"8315,38",NÃO
CENTRO CIRÚRGICO,22/03/2016,BOMBA INFUSAO SERINGA,0,NÃO
CENTRO CIRÚRGICO,22/03/2016,BOMBA INFUSAO SERINGA,"8315,44",NÃO
CENTRO CIRURGICO,22/03/2016,BOMBA INFUSAO SERINGA,"8315,38",NÃO
UNIDADE DE TERAPIA INTENSIVA NEONATAL,22/03/2016,BOMBA INFUSAO SERINGA,"8315,38",NÃO
CENTRO OBSTETRICO,22/03/2016,BOMBA INFUSAO SERINGA,"8315,38",NÃO
CENTRO CIRÚRGICO,22/03/2016,BOMBA INFUSAO SERINGA,"8315,38",NÃO
CENTRO CIRURGICO,22/03/2016,BOMBA INFUSAO SERINGA,"8315,38",NÃO
CENTRO CIRÚRGICO,22/03/2016,BOMBA INFUSAO SERINGA,"8315,38",NÃO
BIOENGENHARIA,15/02/2016,ESFIGMOMANOMETRO ANEROIDE,940,NÃO
BIOENGENHARIA,15/02/2016,ESFIGMOMANOMETRO ANEROIDE,940,NÃO
QUIMIOTERAPIA,15/02/2016,ESFIGMOMANOMETRO ANEROIDE,940,NÃO
QUIMIOTERAPIA,15/02/2016,ESFIGMOMANOMETRO ANEROIDE,940,NÃO
QUIMIOTERAPIA,15/02/2016,ESFIGMOMANOMETRO ANEROIDE,940,NÃO
CIRURGICA 01,15/02/2016,ESFIGMOMANOMETRO ANEROIDE,940,NÃO
QUIMIOTERAPIA,15/02/2016,ESFIGMOMANOMETRO ANEROIDE,940,NÃO
CIRURGICA 2,15/02/2016,ESFIGMOMANOMETRO ANEROIDE,940,NÃO
QUIMIOTERAPIA,15/02/2016,ESFIGMOMANOMETRO ANEROIDE,940,NÃO
CIRURGICA 01,15/02/2016,ESFIGMOMANOMETRO ANEROIDE,940,NÃO
BIOENGENHARIA,15/02/2016,ESFIGMOMANOMETRO ANEROIDE,940,NÃO
UNIDADE DE GESTÃO DA PESQUISA,15/02/2016,ESFIGMOMANOMETRO ANEROIDE,940,NÃO
QUIMIOTERAPIA,15/02/2016,ESFIGMOMANOMETRO ANEROIDE,940,NÃO
MATERNIDADE,15/02/2016,ESFIGMOMANOMETRO ANEROIDE,940,NÃO
MATERNIDADE,15/02/2016,ESFIGMOMANOMETRO ANEROIDE,940,NÃO
MATERNIDADE,15/02/2016,ESFIGMOMANOMETRO ANEROIDE,940,NÃO
MATERNIDADE,15/02/2015,ESFIGMOMANOMETRO ANEROIDE,940,NÃO
MATERNIDADE,15/02/2016,ESFIGMOMANOMETRO ANEROIDE,940,NÃO
MATERNIDADE,15/02/2016,ESFIGMOMANOMETRO ANEROIDE,940,NÃO
MATERNIDADE,15/02/2016,ESFIGMOMANOMETRO ANEROIDE,940,NÃO
TRAUMATOLOGIA E ORTOPEDIA,02/09/2014,SERRA GESSO ELETRICA,"1850,67",NÃO
CIRURGICA 05,15/02/2016,ESFIGMOMANOMETRO ANEROIDE,940,NÃO
CIRURGICA 05,15/02/2016,ESFIGMOMANOMETRO ANEROIDE,940,NÃO
CIRURGICA 05,15/02/2016,ESFIGMOMANOMETRO ANEROIDE,940,NÃO
CIRURGICA 05,15/02/2016,ESFIGMOMANOMETRO ANEROIDE,940,NÃO
CIRURGICA 05,15/02/2016,ESFIGMOMANOMETRO ANEROIDE,940,NÃO
ECOCARDIOGRAFIA,15/02/2016,ESFIGMOMANOMETRO ANEROIDE,940,NÃO
CIRURGICA 05,15/02/2016,ESFIGMOMANOMETRO ANEROIDE,940,NÃO
CIRURGICA 05,15/02/2016,ESFIGMOMANOMETRO ANEROIDE,940,NÃO
CIRURGICA 2,15/02/2016,ESFIGMOMANOMETRO ANEROIDE,940,NÃO
CIRURGICA 2,14/02/2016,ESFIGMOMANOMETRO ANEROIDE,940,NÃO
CIRÚRGICA 2,15/02/2016,ESFIGMOMANOMETRO ANEROIDE,940,NÃO
CIRURGICA 2,15/02/2016,ESFIGMOMANOMETRO ANEROIDE,940,NÃO
CIRÚRGICA 2,15/02/2016,ESFIGMOMANOMETRO ANEROIDE,940,NÃO
CIRURGICA 2,15/02/2016,ESFIGMOMANOMETRO ANEROIDE,940,NÃO
CIRÚRGICA 2,15/02/2016,ESFIGMOMANOMETRO ANEROIDE,940,NÃO
CIRURGICA 2,15/02/2016,ESFIGMOMANOMETRO ANEROIDE,940,NÃO
CIRURGICA 2,15/02/2016,ESFIGMOMANOMETRO ANEROIDE,940,NÃO
CIRÚRGICA 02,15/02/2016,ESFIGMOMANOMETRO ANEROIDE,940,NÃO
CIRURGICA 2,15/02/2016,ESFIGMOMANOMETRO ANEROIDE,940,NÃO
CIRURGICA 2,15/02/2016,ESFIGMOMANOMETRO ANEROIDE,940,NÃO
CIRURGICA 2,15/02/2016,ESFIGMOMANOMETRO ANEROIDE,940,NÃO
CIRURGICA 2,15/02/2016,ESFIGMOMANOMETRO ANEROIDE,940,NÃO
CIRURGICA 2,15/02/2016,ESFIGMOMANOMETRO ANEROIDE,940,NÃO
CIRÚRGICA 2,15/02/2016,ESFIGMOMANOMETRO ANEROIDE,940,NÃO
CIRURGICA 2,15/02/2016,ESFIGMOMANOMETRO ANEROIDE,940,NÃO
CIRURGICA 2,15/02/2016,ESFIGMOMANOMETRO ANEROIDE,940,NÃO
CIRURGICA 2,15/02/2016,ESFIGMOMANOMETRO ANEROIDE,940,NÃO
CIRURGICA 2,15/02/2016,ESFIGMOMANOMETRO ANEROIDE,940,NÃO
BIOENGENHARIA,31/03/2017,ESFIGMOMANOMETRO ANEROIDE,940,NÃO
CIRURGICA 2,15/02/2016,ESFIGMOMANOMETRO ANEROIDE,940,NÃO
CIRURGICA 2,15/02/2016,ESFIGMOMANOMETRO ANEROIDE,940,NÃO
CIRURGICA 2,15/02/2016,ESFIGMOMANOMETRO ANEROIDE,940,NÃO
CIRURGICA 2,15/02/2016,ESFIGMOMANOMETRO ANEROIDE,940,NÃO
CLÍNICA MÉDICA,08/03/2016,ESFIGMOMANOMETRO ANEROIDE,94000,NÃO
CLINICA MEDICA,15/02/2016,ESFIGMOMANOMETRO ANEROIDE,940,NÃO
CLINICA MEDICA,15/02/2016,ESFIGMOMANOMETRO ANEROIDE,940,NÃO
CLINICA MEDICA,15/02/2016,ESFIGMOMANOMETRO ANEROIDE,940,NÃO
CLINICA MEDICA,15/02/2016,ESFIGMOMANOMETRO ANEROIDE,940,NÃO
CLINICA MEDICA,15/02/2016,ESFIGMOMANOMETRO ANEROIDE,940,NÃO
CLINICA MEDICA,15/02/2016,ESFIGMOMANOMETRO ANEROIDE,940,NÃO
CLINICA MEDICA,15/02/2016,ESFIGMOMANOMETRO ANEROIDE,940,NÃO
CLINICA MEDICA,15/02/2016,ESFIGMOMANOMETRO ANEROIDE,940,NÃO
CLINICA MEDICA,15/02/2016,ESFIGMOMANOMETRO ANEROIDE,940,NÃO
CLÍNICA MÉDICA,08/03/2016,ESFIGMOMANOMETRO ANEROIDE,94000,NÃO
CLINICA MEDICA,15/02/2016,ESFIGMOMANOMETRO ANEROIDE,940,NÃO
CLINICA MEDICA,15/02/2016,ESFIGMOMANOMETRO ANEROIDE,940,NÃO
CLINICA MEDICA,15/02/2016,ESFIGMOMANOMETRO ANEROIDE,940,NÃO
CLINICA MEDICA,15/02/2016,ESFIGMOMANOMETRO ANEROIDE,940,NÃO
CLÍNICA MÉDICA,08/03/2016,ESFIGMOMANOMETRO ANEROIDE,94000,NÃO
CLINICA MEDICA,15/02/2016,ESFIGMOMANOMETRO ANEROIDE,940,NÃO
CLINICA MEDICA,15/02/2016,ESFIGMOMANOMETRO ANEROIDE,940,NÃO
CLINICA MEDICA,15/02/2016,ESFIGMOMANOMETRO ANEROIDE,940,NÃO
CLINICA MEDICA,15/02/2016,ESFIGMOMANOMETRO ANEROIDE,940,NÃO
CLINICA MEDICA,15/02/2016,ESFIGMOMANOMETRO ANEROIDE,940,NÃO
CLINICA MEDICA,15/02/2016,ESFIGMOMANOMETRO ANEROIDE,940,NÃO
CLINICA MEDICA,15/02/2016,ESFIGMOMANOMETRO ANEROIDE,940,NÃO
CLINICA MEDICA,15/02/2016,ESFIGMOMANOMETRO ANEROIDE,940,NÃO
CLINICA MEDICA,15/02/2016,ESFIGMOMANOMETRO ANEROIDE,940,NÃO
CLINICA MEDICA,15/02/2016,ESFIGMOMANOMETRO ANEROIDE,940,NÃO
CLÍNICA MÉDICA,08/03/2016,ESFIGMOMANOMETRO ANEROIDE,94000,NÃO
UNIDADE DE TERAPIA INTENSIVA NEONATAL,29/12/2010,SELADOR PACOTE,299,NÃO
UTI PEDIATRICA,21/05/2013,CAMA ELETRICA,8690,NÃO
UNIDADE DE TERAPIA INTENSIVA PEDIÁTRICA,21/05/2013,CAMA ELETRICA,8690,NÃO
UTI PEDIATRICA,21/05/2013,CAMA ELETRICA,8690,NÃO
UNIDADE DE TERAPIA INTENSIVA PEDIÁTRICA,21/05/2013,CAMA ELETRICA,8690,NÃO
UTI PEDIATRICA,21/05/2013,CAMA ELETRICA,8690,NÃO
UTI PEDIÁTRICA,21/05/2013,CAMA ELETRICA,8690,NÃO
PLÁSTICA E QUEIMADOS,21/05/2013,CAMA ELETRICA,8690,NÃO
PLASTICA E QUEIMADOS,21/05/2013,CAMA ELETRICA,8690,NÃO
QUEIMADOS,21/05/2013,CAMA ELETRICA,8690,NÃO
PLASTICA E QUEIMADOS,21/05/2013,CAMA ELETRICA,8690,NÃO
PLASTICA E QUEIMADOS,21/05/2013,CAMA ELETRICA,8690,NÃO
CIRURGICA 01,21/05/2013,CAMA ELETRICA,8690,NÃO
CIRURGICA 01,21/05/2013,CAMA ELETRICA,8690,NÃO
UNIDADE DE ANATOMIA PATOLOGICA,23/06/1982,MICROSCOPIO LAB,"0,01",NÃO
UNIDADE DE ANATOMIA PATOLOGICA,23/06/1982,MICROSCOPIO LAB,"0,01",NÃO
CIRURGICA 01,21/05/2013,CAMA ELETRICA,8690,NÃO
SETOR DE PRONTO SOCORRO DE GINECOLOGIA E OBSTETRÍCIA,21/05/2013,CAMA ELETRICA,8690,NÃO
CLÍNICA MÉDICA,21/05/2013,CAMA ELETRICA,8690,NÃO
UNIDADE DE TERAPIA INTENSIVA CORONARIANA,13/11/2013,CAMA ELETRICA,8690,NÃO
UNIDADE DE TERAPIA INTENSIVA CORONARIANA,21/05/2013,CAMA ELETRICA,8690,NÃO
CIRÚRGICA 2,21/05/2013,CAMA ELETRICA,8690,NÃO
UNIDADE DE TERAPIA INTENSIVA NEONATAL,21/05/2013,CAMA ELETRICA,8690,NÃO
UNIDADE DE TERAPIA INTENSIVA NEONATAL,21/05/2013,CAMA ELETRICA,8690,NÃO
