Número de Série,Tipo Equipamento,Marca,Modelo,Sigla US,Órgão,Grupo,Localização,Data Aquisição,Valor,Próprio,Garantia,Parecer Desativação,Desativado,Baixado,Aprovado,Permitir O.S,Crítico
7214875,FONTE LUZ FIBRA OPTICA ENDOSCOPIO FLEXIVEL,OLYMPUS,CLV-180,HC,UNIDADE DO SISTEMA DIGESTIVO,DEL - ELETROELETRONICA,ENDOSCOPIA - TORRE 8,16/10/2013,0,SIM,NÃO,NÃO,NÃO,NÃO,SIM,SIM,NÃO
7214962,FONTE LUZ FIBRA OPTICA ENDOSCOPIO FLEXIVEL,OLYMPUS,CLV-180,HC,UNIDADE DO SISTEMA DIGESTIVO,DEL - ELETROELETRONICA,ENDOSCOPIA - TORRE 7,16/10/2013,0,SIM,NÃO,NÃO,NÃO,NÃO,SIM,SIM,NÃO
7214874,FONTE LUZ FIBRA OPTICA ENDOSCOPIO FLEXIVEL,OLYMPUS,CLV-180,HC,UNIDADE DO SISTEMA DIGESTIVO,DEL - ELETROELETRONICA,ENDOSCOPIA - TORRE 11,16/10/2013,0,SIM,NÃO,NÃO,NÃO,NÃO,SIM,SIM,NÃO
713315,IMPRESSORA VIDEO,SONY,UP-25-MD,HC,UNIDADE DO SISTEMA DIGESTIVO,DEL - ELETROELETRONICA,ENDOSCOPIA - TORRE 9,16/10/2013,0,SIM,NÃO,NÃO,NÃO,NÃO,SIM,SIM,NÃO
713304,IMPRESSORA VIDEO,SONY,UP-25-MD,HC,UNIDADE DO SISTEMA DIGESTIVO,DEL - ELETROELETRONICA,ENDOSCOPIA - TORRE 3,16/10/2013,0,SIM,NÃO,NÃO,NÃO,NÃO,SIM,SIM,NÃO
713310,IMPRESSORA VIDEO,SONY,UP-25-MD,HC,UNIDADE DO SISTEMA DIGESTIVO,DEL - ELETROELETRONICA,ENDOSCOPIA - TORRE 4,16/10/2013,0,SIM,NÃO,NÃO,NÃO,NÃO,SIM,SIM,NÃO
713309,IMPRESSORA VIDEO,SONY,UP-25-MD,HC,UNIDADE DO SISTEMA DIGESTIVO,DEL - ELETROELETRONICA,ENDOSCOPIA - TORRE 11,16/10/2013,0,SIM,NÃO,NÃO,NÃO,NÃO,SIM,SIM,NÃO
12208108,MONITOR VIDEO,NDS,SC SX-19-A-1511,HC,UNIDADE DO SISTEMA DIGESTIVO,DEL - ELETROELETRONICA,ENDOSCOPIA - TORRE 9,16/10/2013,0,SIM,NÃO,NÃO,NÃO,NÃO,SIM,SIM,NÃO
12208110,MONITOR VIDEO,NDS,SC SX-19-A-1511,HC,UNIDADE DO SISTEMA DIGESTIVO,DEL - ELETROELETRONICA,ENDOSCOPIA - TORRE 8,16/10/2013,0,SIM,NÃO,NÃO,NÃO,NÃO,SIM,SIM,NÃO
12207214,MONITOR VIDEO,NDS,SC SX-19-A-1511,HC,UNIDADE DO SISTEMA DIGESTIVO,DEL - ELETROELETRONICA,ENDOSCOPIA - TORRE 7,16/10/2013,0,SIM,NÃO,NÃO,NÃO,NÃO,SIM,SIM,NÃO
12208106,MONITOR VIDEO,NDS,SC SX-19-A-1511,HC,UNIDADE DO SISTEMA DIGESTIVO,DEL - ELETROELETRONICA,ENDOSCOPIA - TORRE 11,16/10/2013,227800,SIM,NÃO,NÃO,NÃO,NÃO,SIM,SIM,NÃO
2816613,NASOFARINGOSCOPIO,KARL STORZ,11001-RD-1,HC,SETOR DE CONTRATUALIZAÇÃO E REGULAÇÃO,DEL - ELETROELETRONICA,AMBULATORIO CENTRAL,07/05/2013,"102146,06",SIM,NÃO,NÃO,NÃO,NÃO,SIM,SIM,NÃO
4C657A043,VIDEO COLONOSCOPIO,FUJINON,EC-530-LP,HC,UNIDADE DO SISTEMA DIGESTIVO,DEL - ELETROELETRONICA,ENDOSCOPIA - 19,30/03/2013,244450,SIM,NÃO,NÃO,NÃO,NÃO,SIM,SIM,NÃO
4C657A044,VIDEO COLONOSCOPIO,FUJINON,EC-530-LP,HC,UNIDADE DO SISTEMA DIGESTIVO,DEL - ELETROELETRONICA,ENDOSCOPIA - 20,03/03/2013,244450,SIM,NÃO,NÃO,NÃO,NÃO,SIM,SIM,NÃO
4C657A045,VIDEO COLONOSCOPIO,FUJINON,EC-530-LP,HC,UNIDADE DO SISTEMA DIGESTIVO,DEL - ELETROELETRONICA,ENDOSCOPIA,30/03/2013,244450,SIM,NÃO,NÃO,NÃO,NÃO,SIM,SIM,NÃO
4C651A049,VIDEO COLONOSCOPIO,FUJINON,EC-530-DL,HC,UNIDADE DO SISTEMA DIGESTIVO,DEL - ELETROELETRONICA,ENDOSCOPIA - 22,04/03/2013,244450,SIM,NÃO,NÃO,NÃO,NÃO,SIM,SIM,NÃO
4C651A048,VIDEO COLONOSCOPIO,FUJINON,EC-530-DL,HC,UNIDADE DO SISTEMA DIGESTIVO,DEL - ELETROELETRONICA,ENDOSCOPIA - 23,28/03/2013,244450,SIM,NÃO,NÃO,NÃO,NÃO,SIM,SIM,NÃO
4C651A050,VIDEO COLONOSCOPIO,FUJINON,EC-530-DL,HC,UNIDADE DO SISTEMA DIGESTIVO,DEL - ELETROELETRONICA,ENDOSCOPIA - 24,04/03/2013,244450,SIM,NÃO,NÃO,NÃO,NÃO,SIM,SIM,NÃO
4C651A045,VIDEO COLONOSCOPIO,FUJINON,EC-530-DL,HC,UNIDADE DO SISTEMA DIGESTIVO,DEL - ELETROELETRONICA,ENDOSCOPIA,28/03/2013,244450,SIM,NÃO,NÃO,NÃO,NÃO,SIM,SIM,NÃO
2206304,VIDEO GASTROSCOPIO,OLYMPUS,GIF Q-150,HC,UNIDADE DO SISTEMA DIGESTIVO,DEL - ELETROELETRONICA,ENDOSCOPIA,16/10/2013,0,SIM,NÃO,NÃO,NÃO,NÃO,SIM,SIM,NÃO
2206298,VIDEO GASTROSCOPIO,OLYMPUS,GIF Q-150,HC,UNIDADE DO SISTEMA DIGESTIVO,DEL - ELETROELETRONICA,ENDOSCOPIA - 2,16/10/2013,227800,SIM,NÃO,NÃO,NÃO,NÃO,SIM,SIM,NÃO
2206378,VIDEO GASTROSCOPIO,OLYMPUS,GIF Q-150,HC,UNIDADE DO SISTEMA DIGESTIVO,DEL - ELETROELETRONICA,ENDOSCOPIA - 3,16/10/2013,227800,SIM,NÃO,NÃO,NÃO,NÃO,SIM,SIM,NÃO
2206379,VIDEO GASTROSCOPIO,OLYMPUS,GIF Q-150,HC,UNIDADE DO SISTEMA DIGESTIVO,DEL - ELETROELETRONICA,ENDOSCOPIA - 4,16/10/2013,0,SIM,NÃO,NÃO,NÃO,NÃO,SIM,SIM,NÃO
2302415,GASTROSCOPIO FLEXIVEL,OLYMPUS,GIF-2-T-160,HC,UNIDADE DO SISTEMA DIGESTIVO,DEL - ELETROELETRONICA,ENDOSCOPIA - 5,09/04/2013,227800,SIM,NÃO,NÃO,NÃO,NÃO,SIM,SIM,NÃO
2302412,GASTROSCOPIO FLEXIVEL,OLYMPUS,GIF-2-T-160,HC,UNIDADE DO SISTEMA DIGESTIVO,DEL - ELETROELETRONICA,ENDOSCOPIA,16/10/2013,0,SIM,NÃO,NÃO,NÃO,NÃO,SIM,SIM,NÃO
2302408,GASTROSCOPIO FLEXIVEL,OLYMPUS,GIF-2-T-160,HC,UNIDADE DO SISTEMA DIGESTIVO,DEL - ELETROELETRONICA,ENDOSCOPIA - 7,13/03/2013,0,SIM,NÃO,NÃO,NÃO,NÃO,SIM,SIM,NÃO
2302414,GASTROSCOPIO FLEXIVEL,OLYMPUS,GIF-2-T-160,HC,UNIDADE DO SISTEMA DIGESTIVO,DEL - ELETROELETRONICA,ENDOSCOPIA,16/10/2013,0,SIM,NÃO,NÃO,NÃO,NÃO,SIM,SIM,NÃO
000323,INSUFLADOR LAPAROSCOPIA,KARL STORZ,26431520,HC,UNIDADE DE SAÚDE DA MULHER,DEL - ELETROELETRONICA,AMBULATORIO GINECOLOGIA E OBSTETRICIA,05/05/2013,185000,SIM,NÃO,NÃO,NÃO,NÃO,SIM,SIM,NÃO
ZZ679717P,CAMERA VIDEO,KARL STORZ,TELECAM SL II,HC,UNIDADE DE SAÚDE DA MULHER,DEL - ELETROELETRONICA,AMBULATÓRIO GINECOLOGIA E OBSTETRÍCIA  ,04/05/2013,185000,SIM,NÃO,NÃO,NÃO,NÃO,SIM,SIM,NÃO
UX0682547,FONTE LUZ FIBRA OPTICA,KARL STORZ,XENON NOVA-175,HC,UNIDADE DE SAÚDE DA MULHER,DEL - ELETROELETRONICA,AMBULATÓRIO GINECOLOGIA E OBSTETRÍCIA  ,05/05/2013,185000,SIM,NÃO,NÃO,NÃO,NÃO,SIM,SIM,NÃO
1V568A328,PROCESSADORA VIDEO ENDOSCOPIA,FUJINON,VP-4450-HD,HC,UNIDADE DO SISTEMA DIGESTIVO,DEL - ELETROELETRONICA,ENDOSCOPIA - TORRE 2,16/07/2013,863000,SIM,NÃO,NÃO,NÃO,NÃO,SIM,SIM,NÃO
1S095A645,FONTE LUZ FIBRA OPTICA ENDOSCOPIO FLEXIVEL,FUJINON,XL-4450,HC,UNIDADE DO SISTEMA DIGESTIVO,DEL - ELETROELETRONICA,ENDOSCOPIA - TORRE 5,16/07/2013,0,SIM,NÃO,NÃO,NÃO,NÃO,SIM,SIM,NÃO
712836,IMPRESSORA VIDEO,SONY,UP-25-MD,HC,UNIDADE DO SISTEMA DIGESTIVO,DEL - ELETROELETRONICA,ENDOSCOPIA - TORRE 5,16/07/2013,0,SIM,NÃO,NÃO,NÃO,NÃO,SIM,SIM,NÃO
C100I605,TECLADO,FUJINON,DK-4450-E,HC,UNIDADE DO SISTEMA DIGESTIVO,DEL - ELETROELETRONICA,ENDOSCOPIA,16/07/2013,0,SIM,NÃO,NÃO,NÃO,NÃO,SIM,SIM,NÃO
RU038A030,VIDEO GASTROSCOPIO,FUJINON,EG-530-UT-2,HC,UNIDADE DO SISTEMA DIGESTIVO,DEL - ELETROELETRONICA,ENDOSCOPIA,16/07/2013,0,SIM,NÃO,NÃO,NÃO,NÃO,SIM,SIM,NÃO
RU039A030,VIDEO GASTROSCOPIO,FUJINON,EG-530-UR-2,HC,UNIDADE DO SISTEMA DIGESTIVO,DEL - ELETROELETRONICA,ENDOSCOPIA,16/07/2013,0,SIM,NÃO,NÃO,NÃO,NÃO,SIM,SIM,NÃO
PV489A200,MONITOR VIDEO,FUJINON,CDL-1909-A,HC,UNIDADE DO SISTEMA DIGESTIVO,DEL - ELETROELETRONICA,ENDOSCOPIA - TORRE 5,16/07/2013,0,SIM,NÃO,NÃO,NÃO,NÃO,SIM,SIM,NÃO
19250,SIS RADIOGRAFICO-FLUOROSCOPICO,SIEMENS,AXIOM ICONOS MD,HC,UNIDADE DE DIAGNÓSTICO POR IMAGEM,DEL - ELETROELETRONICA,RADIOLOGIA,24/05/2012,390500,SIM,NÃO,NÃO,NÃO,NÃO,SIM,SIM,SIM
772129,IMPEDANCIOMETRO TIMPANOMETRICO,INTERACOUSTICS,AT-235,HC,SETOR DE CONTRATUALIZAÇÃO E REGULAÇÃO,DEL - ELETROELETRONICA,AMBULATORIO CENTRAL,24/05/2010,12621,SIM,NÃO,NÃO,NÃO,NÃO,SIM,SIM,NÃO
120401521,FOCO CIRURGICO,BAUMER,F-500 2,HC,UNIDADE DE BLOCO CIRÚRGICO E PROCESSAMENTO MATERIAL ESTERILIZADO,DEL - ELETROELETRONICA,CENTRO CIRÚRGICO - SALA 15,28/02/2012,18590,SIM,NÃO,NÃO,NÃO,NÃO,SIM,SIM,NÃO
120401526,FOCO CIRURGICO,BAUMER,F-500 2,HC,UNIDADE DE BLOCO CIRÚRGICO E PROCESSAMENTO MATERIAL ESTERILIZADO,DEL - ELETROMECANICA,CENTRO CIRÚRGICO - SALA 16,28/02/2012,18590,SIM,NÃO,NÃO,NÃO,NÃO,SIM,SIM,NÃO
120401523,FOCO CIRURGICO,BAUMER,F-500 2,HC,UNIDADE DE BLOCO CIRÚRGICO E PROCESSAMENTO MATERIAL ESTERILIZADO,DEL - ELETROELETRONICA,CENTRO CIRURGICO - SALA 14,28/02/2012,18590,SIM,NÃO,NÃO,NÃO,NÃO,SIM,SIM,NÃO
120401528,FOCO CIRURGICO,BAUMER,F-500 2,HC,UNIDADE DE BLOCO CIRÚRGICO E PROCESSAMENTO MATERIAL ESTERILIZADO,DEL - ELETROELETRONICA,CENTRO CIRÚRGICO - SALA 11,28/02/2012,18590,SIM,NÃO,NÃO,NÃO,NÃO,SIM,SIM,NÃO
,BERCO AQUECIDO,FANEM,AQ-50,HC,UNIDADE DE SAÚDE DA MULHER,DEL - ELETROELETRONICA,MATERNIDADE,22/11/1990,"0,08",SIM,NÃO,NÃO,NÃO,NÃO,SIM,SIM,NÃO
570287,ESFIGMOMANOMETRO ANEROIDE,BIC,PRECISION,HC,UNIDADE DE URGÊNCIA E EMERGÊNCIA,DEL - LAB. CALIBRAÇÃO,SETOR DE PRONTO SOCORRO DE GINECOLOGIA E OBSTETRÍCIA,10/04/2012,50,SIM,NÃO,NÃO,NÃO,NÃO,SIM,SIM,NÃO
7029023,SIS TRIAGEM AUDITIVA RN,INTERACOUSTICS,OTOREAD,HC,UNIDADE DE REABILITAÇÃO,DEL - ELETROELETRONICA,AMBULATORIO CENTRAL - FONOAUDIOLOGIA,31/12/2012,0,SIM,NÃO,NÃO,NÃO,NÃO,SIM,SIM,NÃO
111151460,ESFIGMOMANOMETRO ANEROIDE,RIESTER,BIG BEN ROUND,HC,UNIDADE DE SAÚDE DA MULHER,DEL - ELETROELETRONICA,MATERNIDADE,15/08/2013,"552,5",SIM,NÃO,NÃO,NÃO,NÃO,SIM,SIM,NÃO
SPM20130878,DOPPLER TRANSCRANIANO,VIASYS,SONARA/TEK,HC,UNIDADE DE TERAPIA INTENSIVA ADULTO,DEL - ELETROELETRONICA,UNIDADE DE TERAPIA INTENSIVA ADULTO,21/05/2013,5000,SIM,NÃO,NÃO,NÃO,NÃO,SIM,SIM,NÃO
IVD1208788,ANA LAB IMUNOENSAIO FLUORIMETRICO,BIOMERIEUX,MINI VIDAS,HC,UNIDADE DE LABORATÓRIO DE ANÁLISES CLÍNICAS,DEL - ELETROELETRONICA,UNIDADE DE LABORATORIO DE ANALISES CLINICAS,22/05/2012,40000,SIM,NÃO,NÃO,NÃO,NÃO,SIM,SIM,NÃO
ASDM-0065,UNI ANESTESIA,DRAGER,FABIUS GS PREMIUM,HC,UNIDADE DE BLOCO CIRÚRGICO E PROCESSAMENTO MATERIAL ESTERILIZADO,DEL - ELETROELETRONICA,CENTRO CIRURGICO,11/12/2012,71900,SIM,NÃO,NÃO,NÃO,NÃO,SIM,SIM,SIM
ASDM0066,UNI ANESTESIA,DRAGER,FABIUS GS PREMIUM,HC,UNIDADE DO SISTEMA DIGESTIVO,DEL - ELETROELETRONICA,ENDOSCOPIA,11/12/2012,71900,SIM,NÃO,NÃO,NÃO,NÃO,SIM,SIM,SIM
ASDM0064,UNI ANESTESIA,DRAGER,FABIUS GS PREMIUM,HC,UNIDADE DE BLOCO CIRÚRGICO E PROCESSAMENTO MATERIAL ESTERILIZADO,DEL - ELETROELETRONICA,CENTRO CIRURGICO,11/12/2012,71900,SIM,NÃO,NÃO,NÃO,NÃO,SIM,SIM,SIM
I3010102697,VENTILADOR UTI,INTERMED,INTER-3,HC,UNIDADE DE TERAPIA INTENSIVA NEONATAL,DEL - ELETROELETRONICA,UNIDADE DE TERAPIA INTENSIVA NEONATAL,13/03/2001,15000,SIM,NÃO,NÃO,NÃO,NÃO,SIM,SIM,NÃO
20120127409,CAMA ELETRICA,LINET,ELEGANZA SMART,HC,UNIDADE DE URGÊNCIA E EMERGÊNCIA,DEL - ELETROMECANICA,PRONTO SOCORRO,13/11/2013,8690,SIM,NÃO,NÃO,NÃO,NÃO,SIM,SIM,NÃO
20120127408,CAMA ELETRICA,LINET,ELEGANZA SMART,HC,UNIDADE DE SAÚDE DA MULHER,DEL - ELETROMECANICA,MATERNIDADE,21/05/2013,8690,SIM,NÃO,NÃO,NÃO,NÃO,SIM,SIM,NÃO
20120135269,CAMA ELETRICA,LINET,ELEGANZA SMART,HC,UNIDADE DE TERAPIA INTENSIVA ADULTO,DEL - ELETROMECANICA,UNIDADE DE TERAPIA INTENSIVA GERAL,21/05/2013,8690,SIM,NÃO,NÃO,NÃO,NÃO,SIM,SIM,NÃO
20120135270,CAMA ELETRICA,LINET,ELEGANZA SMART,HC,UNIDADE DE SAÚDE DA MULHER,DEL - ELETROMECANICA,MATERNIDADE,21/05/2013,8690,SIM,NÃO,NÃO,NÃO,NÃO,SIM,SIM,NÃO
20120136317,CAMA ELETRICA,LINET,ELEGANZA SMART,HC,UNIDADE DE CLÍNICA MÉDICA,DEL - ELETROMECANICA,CLINICA MEDICA,21/05/2013,8690,SIM,NÃO,NÃO,NÃO,NÃO,SIM,SIM,NÃO
20120136275,CAMA ELETRICA,LINET,ELEGANZA SMART,HC,UNIDADE DE CLÍNICA MÉDICA,DEL - ELETROMECANICA,CLINICA MEDICA,21/05/2013,8690,SIM,NÃO,NÃO,NÃO,NÃO,SIM,SIM,NÃO
20120136276,CAMA ELETRICA,LINET,ELEGANZA SMART,HC,UNIDADE DE CLÍNICA CIRÚRGICA,DEL - ELETROMECANICA,CIRURGICA 02,21/05/2013,8690,SIM,NÃO,NÃO,NÃO,NÃO,SIM,SIM,NÃO
20120136318,CAMA ELETRICA,LINET,ELEGANZA SMART,HC,UNIDADE DE SAÚDE DA MULHER,DEL - ELETROMECANICA,MATERNIDADE,21/05/2013,8690,SIM,NÃO,NÃO,NÃO,NÃO,SIM,SIM,NÃO
20120127492,CAMA ELETRICA,LINET,ELEGANZA SMART,HC,UNIDADE DE TERAPIA INTENSIVA ADULTO,DEL - ELETROMECANICA,UNIDADE DE TERAPIA INTENSIVA GERAL,21/05/2013,8690,SIM,NÃO,NÃO,NÃO,NÃO,SIM,SIM,NÃO
21996017,BOMBA INFUSAO USO GERAL,FRESENIUS,VOLUMAT AGILIA,HC,UNIDADE DE URGÊNCIA E EMERGÊNCIA,DEL - ELETROELETRONICA,PRONTO SOCORRO,07/10/2013,0,NÃO,NÃO,NÃO,NÃO,NÃO,SIM,SIM,NÃO
21996022,BOMBA INFUSAO USO GERAL,FRESENIUS,VOLUMAT AGILIA,HC,UNIDADE DE ONCOLOGIA,DEL - ELETROELETRONICA,INTERNAÇÃO ONCOLOGIA,07/10/2013,0,NÃO,NÃO,NÃO,NÃO,NÃO,SIM,SIM,NÃO
20120127497,CAMA ELETRICA,LINET,ELEGANZA SMART,HC,UNIDADE DE URGÊNCIA E EMERGÊNCIA,DEL - ELETROMECANICA,SETOR DE PRONTO SOCORRO DE GINECOLOGIA E OBSTETRÍCIA,21/05/2013,8690,SIM,NÃO,NÃO,NÃO,NÃO,SIM,SIM,NÃO
20120136314,CAMA ELETRICA,LINET,ELEGANZA SMART,HC,UNIDADE DE URGÊNCIA E EMERGÊNCIA,DEL - ELETROMECANICA,SETOR DE PRONTO SOCORRO DE GINECOLOGIA E OBSTETRÍCIA,21/05/2013,8690,SIM,NÃO,NÃO,NÃO,NÃO,SIM,SIM,NÃO
20120127493,CAMA ELETRICA,LINET,ELEGANZA SMART,HC,UNIDADE DE SAÚDE DA MULHER,DEL - ELETROELETRONICA,MATERNIDADE,21/05/2013,8690,SIM,NÃO,NÃO,NÃO,NÃO,SIM,SIM,NÃO
20120136313,CAMA ELETRICA,LINET,ELEGANZA SMART,HC,UNIDADE DE SAÚDE DA MULHER,DEL - ELETROMECANICA,MATERNIDADE,21/05/2013,8690,SIM,NÃO,NÃO,NÃO,NÃO,SIM,SIM,NÃO
20120136312,CAMA ELETRICA,LINET,ELEGANZA SMART,HC,UNIDADE DE URGÊNCIA E EMERGÊNCIA,DEL - ELETROMECANICA,SETOR DE PRONTO SOCORRO DE GINECOLOGIA E OBSTETRÍCIA,21/05/2013,8690,SIM,NÃO,NÃO,NÃO,NÃO,SIM,SIM,NÃO
20120136311,CAMA ELETRICA,LINET,ELEGANZA SMART,HC,UNIDADE DE SAÚDE DA MULHER,DEL - ELETROMECANICA,CENTRO OBSTÉTRICO,21/05/2013,8690,SIM,NÃO,NÃO,NÃO,NÃO,SIM,SIM,NÃO
20120127589,CAMA ELETRICA,LINET,ELEGANZA SMART,HC,UNIDADE DE TERAPIA INTENSIVA ADULTO,DEL - ELETROMECANICA,UTI ADULTO,21/05/2013,8690,SIM,NÃO,NÃO,NÃO,NÃO,SIM,SIM,NÃO
20120127481,CAMA ELETRICA,LINET,1-SMA-7845,HC,UNIDADE DE CLÍNICA MÉDICA,DEL - ELETROMECANICA,CLÍNICA MÉDICA ,13/11/2013,869000,SIM,NÃO,NÃO,NÃO,NÃO,SIM,SIM,NÃO
20120127462,CAMA ELETRICA,LINET,ELEGANZA SMART,HC,UNIDADE DE CLÍNICA MÉDICA,DEL - ELETROMECANICA,CLINICA MEDICA,21/05/2013,8690,SIM,NÃO,NÃO,NÃO,NÃO,SIM,SIM,NÃO
20120127509,CAMA ELETRICA,LINET,ELEGANZA SMART,HC,UNIDADE DE SAÚDE DA MULHER,DEL - ELETROMECANICA,MATERNIDADE,21/05/2013,8690,SIM,NÃO,NÃO,NÃO,NÃO,SIM,SIM,NÃO
20120127512,CAMA ELETRICA,LINET,ELEGANZA SMART,HC,UNIDADE DE CLÍNICA CIRÚRGICA,DEL - ELETROMECANICA,CIRÚRGICA 2,09/05/2013,8690,SIM,NÃO,NÃO,NÃO,NÃO,SIM,SIM,NÃO
20120127510,CAMA ELETRICA,LINET,ELEGANZA SMART,HC,UNIDADE DE URGÊNCIA E EMERGÊNCIA,DEL - ELETROMECANICA,GERENCIA DE PRONTO SOCORRO,21/05/2013,8690,SIM,NÃO,NÃO,NÃO,NÃO,SIM,SIM,NÃO
20120127511,CAMA ELETRICA,LINET,ELEGANZA SMART,HC,UNIDADE DE CLÍNICA CIRÚRGICA,DEL - ELETROMECANICA,CIRURGICA 2,21/05/2013,8690,SIM,NÃO,NÃO,NÃO,NÃO,SIM,SIM,NÃO
20120136332,CAMA ELETRICA,LINET,ELEGANZA SMART,HC,UNIDADE DE SAÚDE DA MULHER,DEL - ELETROMECANICA,MATERNIDADE,21/05/2013,8690,SIM,NÃO,NÃO,NÃO,NÃO,SIM,SIM,NÃO
20120136330,CAMA ELETRICA,LINET,ELEGANZA SMART,HC,UNIDADE DE URGÊNCIA E EMERGÊNCIA,DEL - ELETROMECANICA,PRONTO SOCORRO,21/05/2013,8690,SIM,NÃO,NÃO,NÃO,NÃO,SIM,SIM,NÃO
20120136331,CAMA ELETRICA,LINET,ELEGANZA SMART,HC,UNIDADE DE URGÊNCIA E EMERGÊNCIA,DEL - ELETROMECANICA,PRONTO SOCORRO,21/05/2013,8690,SIM,NÃO,NÃO,NÃO,NÃO,SIM,SIM,NÃO
20120123710,CAMA ELETRICA,LINET,ELEGANZA SMART,HC,UNIDADE DE SAÚDE DA MULHER,DEL - ELETROMECANICA,MATERNIDADE,07/05/2013,8690,SIM,NÃO,NÃO,NÃO,NÃO,SIM,SIM,NÃO
20120123670,CAMA ELETRICA,LINET,ELEGANZA SMART,HC,UNIDADE DE SAÚDE DA MULHER,DEL - ELETROMECANICA,MATERNIDADE,08/05/2013,8690,SIM,NÃO,NÃO,NÃO,NÃO,SIM,SIM,NÃO
20120123730,CAMA ELETRICA,LINET,ELEGANZA SMART,HC,UNIDADE DE SAÚDE DA MULHER,DEL - ELETROMECANICA,MATERNIDADE,08/05/2013,8690,SIM,NÃO,NÃO,NÃO,NÃO,SIM,SIM,NÃO
20120123738,CAMA ELETRICA,LINET,ELEGANZA SMART,HC,UNIDADE DE SAÚDE DA MULHER,DEL - ELETROMECANICA,MATERNIDADE,08/05/2013,8690,SIM,NÃO,NÃO,NÃO,NÃO,SIM,SIM,NÃO
20120123709,CAMA ELETRICA,LINET,ELEGANZA SMART,HC,UNIDADE DE SAÚDE DA MULHER,DEL - ELETROMECANICA,MATERNIDADE,08/05/2013,8690,SIM,NÃO,NÃO,NÃO,NÃO,SIM,SIM,NÃO
20120123671,CAMA ELETRICA,LINET,ELEGANZA SMART,HC,UNIDADE DE SAÚDE DA MULHER,DEL - ELETROMECANICA,MATERNIDADE,08/05/2013,8690,SIM,NÃO,NÃO,NÃO,NÃO,SIM,SIM,NÃO
20120123729,CAMA ELETRICA,LINET,ELEGANZA SMART,HC,UNIDADE DE SAÚDE DA MULHER,DEL - ELETROMECANICA,UNIDADE DE SAUDE DA MULHER,08/05/2013,8690,SIM,NÃO,NÃO,NÃO,NÃO,SIM,SIM,NÃO
20120123737,CAMA ELETRICA,LINET,ELEGANZA SMART,HC,UNIDADE DE SAÚDE DA MULHER,DEL - ELETROMECANICA,MATERNIDADE,08/05/2013,8690,SIM,NÃO,NÃO,NÃO,NÃO,SIM,SIM,NÃO
20120136323,CAMA ELETRICA,LINET,ELEGANZA SMART,HC,UNIDADE DE SAÚDE DA MULHER,DEL - ELETROMECANICA,MATERNIDADE,08/05/2013,8690,SIM,NÃO,NÃO,NÃO,NÃO,SIM,SIM,NÃO
20120136324,CAMA ELETRICA,LINET,ELEGANZA SMART,HC,UNIDADE DE SAÚDE DA MULHER,DEL - ELETROMECANICA,MATERNIDADE,08/05/2013,8690,SIM,NÃO,NÃO,NÃO,NÃO,SIM,SIM,NÃO
20120136336,CAMA ELETRICA,LINET,ELEGANZA SMART,HC,UNIDADE DE SAÚDE DA MULHER,DEL - ELETROMECANICA,MATERNIDADE,08/05/2013,8690,SIM,NÃO,NÃO,NÃO,NÃO,SIM,SIM,NÃO
20120136335,CAMA ELETRICA,LINET,ELEGANZA SMART,HC,UNIDADE DE SAÚDE DA MULHER,DEL - ELETROMECANICA,MATERNIDADE,08/05/2013,8690,SIM,NÃO,NÃO,NÃO,NÃO,SIM,SIM,NÃO
20120122460,CAMA ELETRICA,LINET,ELEGANZA SMART,HC,UNIDADE DE SAÚDE DA MULHER,DEL - ELETROMECANICA,MATERNIDADE,08/05/2013,8690,SIM,NÃO,NÃO,NÃO,NÃO,SIM,SIM,NÃO
20120122461,CAMA ELETRICA,LINET,ELEGANZA SMART,HC,UNIDADE DE TERAPIA INTENSIVA ADULTO,DEL - ELETROMECANICA,UTI ADULTO,08/05/2013,8690,SIM,NÃO,NÃO,NÃO,NÃO,SIM,SIM,NÃO
20120122434,CAMA ELETRICA,LINET,ELEGANZA SMART,HC,UNIDADE DE SAÚDE DA MULHER,DEL - ELETROMECANICA,MATERNIDADE,08/05/2013,8690,SIM,NÃO,NÃO,NÃO,NÃO,SIM,SIM,NÃO
20120122433,CAMA ELETRICA,LINET,ELEGANZA SMART,HC,UNIDADE DE SAÚDE MENTAL,DEL - ELETROMECANICA,PSIQUIATRIA,13/11/2013,8690,SIM,NÃO,NÃO,NÃO,NÃO,SIM,SIM,NÃO
20120127413,CAMA ELETRICA,LINET,ELEGANZA SMART,HC,UNIDADE DE SISTEMA URINÁRIO,DEL - ELETROMECANICA,TRANSPLANTES,21/05/2013,8690,SIM,NÃO,NÃO,NÃO,NÃO,SIM,SIM,NÃO
20120127412,CAMA ELETRICA,LINET,ELEGANZA SMART,HC,UNIDADE DE SISTEMA URINÁRIO,DEL - ELETROMECANICA,TRANSPLANTES,21/05/2013,8690,SIM,NÃO,NÃO,NÃO,NÃO,SIM,SIM,NÃO
20120136337,CAMA ELETRICA,LINET,ELEGANZA SMART,HC,UNIDADE DE SISTEMA URINÁRIO,DEL - ELETROMECANICA,TRANSPLANTES,21/05/2013,8690,SIM,NÃO,NÃO,NÃO,NÃO,SIM,SIM,NÃO
